Date,Map,Visitor/Neutral,PTS,Home/Neutral,PTS
24/10/15,mirage,SK,13,"Natus Vincere",16
24/10/15,train,ACG,16,Enso,14
24/10/15,mirage,Enso,14,ACG,16
24/10/15,dust2,Enso,16,ACG,8
24/10/15,inferno,BulletsRage.Pro,16,k1ck,11
24/10/15,dust2,NiP,17,Titan,19
24/10/15,mirage,SK,16,HellRaisers,6
24/10/15,dust2,XENEX,3,UESmash,16
24/10/15,cache,XENEX,11,UESmash,16
24/10/15,cache,Arcade,16,GUS-Gaming,12
24/10/15,mirage,GUS-Gaming,7,Arcade,16
24/10/15,mirage,AlienTech,16,BulletsRage.Pro,7
24/10/15,inferno,AlienTech,16,BulletsRage.Pro,3
24/10/15,mirage,Infused,16,Choke,9
24/10/15,inferno,Infused,16,Choke,1
